amfi_code,annualised_return,sharpe_ratio,alpha,beta,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
100016,0.01812064951462755,-0.3811196218913558,0.03747580763443281,-0.0582684314388089,-0.24734440880673303,1.55,37.0,34.0,39.0,32.0,34.0,100.0
100025,0.03055034222790054,-1.042659774053002,0.042817920315060876,0.0011582183155281463,-0.04308263824636349,0.56,36.0,37.0,38.0,2.0,4.0,79.63483146067415
100033,0.19921655341786937,0.83732955681781,0.2719535450128533,0.0051035258305283104,-0.16217208574644848,1.38,7.0,7.0,6.0,17.0,20.0,26.966292134831466
101206,0.15701133043947202,0.7461118056101598,0.21399784776051212,0.02108631625012803,-0.11291596329323073,1.6,12.0,9.0,12.0,36.5,9.0,41.0814606741573
101207,0.05412082343718971,-0.04987477749019164,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,1.53,27.0,27.0,27.0,28.5,38.0,79.56460674157303
101208,0.044467523039841916,-4.445598177312008,0.060861457957871144,0.00026670968338238433,-0.0016224980244717857,0.79,32.0,40.0,33.0,11.0,3.0,79.07303370786516
102885,0.12249303405305811,0.5292196728604875,0.17048756803412696,-0.019486785689474526,-0.1085986215250232,1.57,18.0,16.0,19.0,34.0,7.0,53.37078651685392
102886,0.008069711011326364,-0.3713060948017941,0.028969397866379445,-0.04212502902189432,-0.2800112356639287,1.51,40.0,33.0,40.0,24.5,35.0,99.50842696629212
102887,0.11336323837814022,0.3627808616203117,0.16211256794033255,0.016682689437770827,-0.21539827112383225,1.64,20.0,22.0,21.0,39.5,30.0,69.17134831460675
118632,0.16031198774659772,0.7957204456810368,0.21829397904608644,-0.008353832126962021,-0.17414075086657232,1.51,11.0,8.0,11.0,24.5,23.0,37.85112359550562
118633,0.10963342244556129,0.3768929476388584,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,0.72,22.0,21.0,22.0,5.5,26.0,55.26685393258427
118634,0.11028686693972123,0.21214662165926187,0.1750072167561127,0.1034966369133759,-0.2334488614483311,1.53,21.0,24.0,18.0,28.5,32.0,65.66011235955057
118635,0.10754542254469657,0.3872939005070307,0.1513635464823924,-0.001433521389780133,-0.1165062450540909,0.89,23.0,20.0,23.0,13.0,10.0,54.63483146067415
118636,0.036387702009530676,-0.8483378459383469,0.05074772999976104,0.0012566742731558458,-0.08316361763638702,0.55,35.0,36.0,35.0,1.0,6.0,76.54494382022472
119092,0.04351309541168091,-0.18214625633216178,0.0689952982167755,0.009730745001153637,-0.1440161790933726,1.64,33.0,30.0,30.0,39.5,15.0,86.58707865168539
119093,0.05384315930079575,-0.09435103698445815,0.08232801295222093,0.02588321244009315,-0.21751396370148224,0.75,28.0,28.0,28.0,8.0,31.0,71.06741573033707
119094,0.1870521148627744,0.7431041337504749,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,1.38,9.0,11.0,9.0,17.0,28.0,35.39325842696629
119095,0.010472845717320212,-0.25728312926397395,0.048015953637759554,-0.066951174639292,-0.5167775370852656,1.38,39.0,32.0,37.0,17.0,39.0,94.24157303370787
119120,0.040271590894740195,-0.7364436522690851,0.05620895216638369,-0.006413850728276477,-0.04328728923970093,0.77,34.0,35.0,34.0,9.0,5.0,77.52808988764045
119551,0.1716143006643196,0.9162026160335723,0.23201007160635082,-0.03175144113890972,-0.1501238549864533,1.54,10.0,5.0,10.0,30.5,17.0,35.18258426966291
119552,0.14396354506290576,0.6692534456691092,0.1986859936686296,-0.026159307513513405,-0.11803493502764295,0.66,15.0,14.0,15.0,4.0,11.0,35.674157303370784
119598,0.21380371259617825,0.6994946335842127,0.3033696538698332,-0.023196062044059693,-0.2870600572176455,1.43,2.0,13.0,1.0,21.0,36.0,30.33707865168539
119599,0.014129931609609958,-0.24114666373350335,0.048824215945539845,0.06200180438267168,-0.5257422117012851,0.72,38.0,31.0,36.0,5.5,40.0,87.5702247191011
